,Unnamed: 0,name,location,description,link,price,operation,rooms,bathrooms,construction (m2),terrain (m2),lat,lng,calle,numero,colonia,ciudad,CP,formatad
0,0,"Sierra Gorda, Lomas de Chapultepec","Calle Sierra gorda, Lomas de Chapultepec, Miguel Hidalgo","La exclusiva zona residencial de Lomas de Chapultepec alberga el desarrollo sg, proyecto de 4 departamentos de lujo diseñados estratégicamente con una distribución espacial altamente flexible. Cuenta con 1 Garden House, 2 departamentos y un espectacular Penthouse.",/propiedades/sierra-gorda-lomas-de-chapultepec-56702861.html,"MN 25,000,000",venta,2.5,,282.0,416.5,19.421469,-99.22528899999999,Sierra Gorda,,Lomas de Chapultepec,Ciudad de México,,"Sierra Gorda, Lomas de Chapultepec, Ciudad de México, CDMX, Mexico"
1,1,Enquentro Residencial Insurgentes Mixcoac,"Patriotismo 883, Insurgentes Mixcoac, Benito Juárez","Enquentro un proyecto moderno y singular. Ven a gozar de una ubicación privilegiada viviendo frente a una pintoresca glorieta, en una de las zonas mas tradiciones de la ciudad; Mixcoac, donde todavía se observa el estilo de una típica colonia pequeña, con calles empedradas y un sabor único. Enquentro Residencial, es una torre moderna de 24 pisos con amplias zonas verdes, terrazas, amenidades y servicios en una casona antigua para disfrutar con toda tu familia. Su diseño permite que todos los departamentos cuenten con increíbles vistas y gran iluminación natural. Disponibles modelos desde los 75m2 hasta los 170 m2 con 2 y 3 recamaras, 2 cajones de estacionamientos, elevador, cctv. Exclusivos Penthouse desde 142m hasta 203m2 en dos niveles, con amplias terrazas e inigualables vistas panorámicas. Alberca-chapoteadero techado y climatizado, gimnasio-spinning, área verde, asadores, casa club con sauna y jacuzzi, club de jóvenes y sin olvidar a los consentidos del hogar somos un desarrollo pet friendly.",/propiedades/enquentro-residencial-insurgentes-mixcoac-51407421.html,"MN 5,523,587",venta,2.5,,140.5,140.5,19.3734512,-99.1870332,Avenida Patriotismo,883,Insurgentes Mixcoac,Ciudad de México,03920,"Avenida Patriotismo 883, Insurgentes Mixcoac, Benito Juárez, 03920 Ciudad de México, CDMX, Mexico"
2,2,Sky Tower Lindavista,"Av. Insurgentes Norte. 1346, Lindavista,  Ciudad de México (A lado del Costco Lindavista), Lindavista, Gustavo A. Madero","Sky tower lindavista es un desarrollo de 184 departamentos con un gran toque de diseño y confort. Estamos ubicados sobre la Av. Insurgentes en el corazón de Lindavista, junto al nuevo costco, con accesos rápidos a cualquier punto de la ciudad. Los departamentos miden 75m2 y cuentan con: 2 recamaras, vestidor en recamara principal, 2 baños completos, sala tv (prototipo 1), cocina integral, sala-comedor y 2 lugares de estacionamiento. Cuenta con cerca de 800m2 de amenidades: Gimnasio, Salón de Eventos, Business Center, Área Comercial y un Espacio de Juegos al aire libre. Nuestro desarrollo está equipado con ecotecnias tales como: Sistema de captación de aguas pluviales, Planta de Tratamiento de Aguas Residuales, Desperdicio Cero de Agua Fría en Regaderas, wc ahorradores e Iluminación led.",/propiedades/sky-tower-lindavista-54456938.html,"MN 3,210,000",venta,2.0,,79.5,122.0,19.481763,-99.129618,Avenida Insurgentes Norte,1320,Magdalena de las Salinas,Ciudad de México,07760,"Av. Insurgentes Nte. 1320, Magdalena de las Salinas, Gustavo A. Madero, 07760 Ciudad de México, CDMX, Mexico"
3,3,Musset 326,"Alfredo Musset 326, Polanco, Miguel Hidalgo","Atractivo e innovador proyecto residencial en pre-eventa con un 60% de avance ubicado en el corazón de Polanco. Superficie: Desde 210m2 a 450 m2 Habitables. • Entrega 100% terminado con acabados de alta calidad. • Balcones y Terrazas con áreas verdes. • Eficiencia térmica y acústica. • Hidroneumático. • Edificio Feng-Shui para bienestar real. • Cajones con doble altura para eleva-autos. • Bodega en sótano. • Ventilación natural. • Vigilancia 24/7/365. • Cuarto de servicio y área de lavado. • Flexibilidad de recámara adicional. Transacciones en Pesos: Desde $20, 098, 744 hasta: $38, 730, 000. Otras ventajas competitivas: Proyecto 100% fondeado, edificio inteligente, gadgets digitales, amplio frente en calle de un sentido, bajo mantenimiento.",/propiedades/musset-326-56045986.html,"MN 20,098,744",venta,2.5,,294.0,328.0,19.4368813,-99.19663399999999,Alfredo de Musset,326,Polanco III Sección,Ciudad de México,11550,"A. Musset 326, Polanco, Polanco III Secc, Miguel Hidalgo, 11550 Ciudad de México, CDMX, Mexico"
4,4,Progreso 40,"PROGRESO 40, Escandón, Miguel Hidalgo","Super oportunidad, aprovecha un 8% de descuento valido hasta el 31 de julio A los tres primeros compradores. Contamos con excelentes condiciones de pago: 25% de enganche y 25% en mensualidades, un descuento de 10% sobre precio de venta. 20% de enganche y 15% en mensualidades, un descuento del 5% sobre precio de venta. Exclusivos departamentos con ubicaciòn inmejorable en la Col. Escandon. Son 21 departamentos que cuentan con iluminacion led, calentador instantaneo de gas lp, cisterna, cocina con cubierta de granito, estufa, campana, tarja y monomando, área de lavandería, carpintería (puertas y closets de habitaciones) y 1 lugar de estacionamiento, con opción a comprar un segundo lugar. Los baños se entregan con cancel de cristal templado de 6 mm. Acabados de lujo. Algunos departamentos cuentan con balcon y/o terraza. El edificio tiene: elevador para 8 pasajeros, caseta de vigilancia 24 x 24, recepción, planta de luz de emergencia, cisterna de agua, ducto de basura en cada nivel y roof Top común.",/propiedades/progreso-40-57552849.html,"MN 4,488,000",venta,2.0,,114.0,161.0,19.4056117,-99.1824656,Avenida Progreso,40,Escandón I Sección,Ciudad de México,11800,"Av Progreso 40, Escandón I Secc, Miguel Hidalgo, 11800 Ciudad de México, CDMX, Mexico"
5,5,Casa - Jardines en La Montaña,"Jardines EN LA Montaña, Residencia Frente AL Bosque, Jardines en la Montaña, Tlalpan","Espectacular casa en venta con hermosas vistas, muy privada, frente al bosque, cuenta con amplio recibidor, sala comedor con vista a jardín interior, despacho de excelente tamaño, cocina con antecomedor y vista al jardín de la casa, medio baño para visitas, 3 recámaras de muy buen tamaño, todas con baño y vestidor, la principal con vestidor enorme y jacuzzi, Family Room en el mismo nivel de las recámaras, espacio adicional en la parte de arriba que puede ser destinado a oficina o recámara para visitas. Increíble jardín con salón para eventos y Jacuzzi, posee amplios ventanales en toda la casa lo que permite una increíble iluminación natural, acabados de lujo mármol y maderas finas, Tiene área de lavado junto a la cocina, cuarto de servicio de muy buen tamaño, amplias bodegas, y estacionamiento para 6 autos. Increíble propiedad ubicada en el mejor fraccionamiento al sur de la. com. mx",/propiedades/casa-jardines-en-la-montana-56828023.html,"MN 35,500,000",venta,3.0,3.0,790.0,635.0,19.3017806,-99.2023662,,,Jardines en la Montaña,Ciudad de México,,"Jardines en la Montaña, Ciudad de México, CDMX, Mexico"
6,6,Hermosos y Ubicadisimos Departamentos con Excelentes Amenidades.,"Calle de la Constitución 18, Escandón, Miguel Hidalgo","Proyecto de 49 departamentos, desde 72m2 hasta 170m2 con precios que inician en $3, 692, 000 Y todos tienen bodega. Contamos con acabados que van a encantarte (de verdad, te encantaran) tenemos un avance de obra del 90% y departamento muestra, ya puedes ver cada uno de los departamentos que tenemos a la venta, la entrega para Julio 2020 y amenidades como: gimnasio, yoga hall, rooftop bar & lounge, jacuzzi Y un hermoso lobby, . La calle y el barrio son super tranquilos y las vías de comunicación las mejores, cerca de la Condesa, Roma y Nápoles.",/propiedades/hermosos-y-ubicadisimos-departamentos-con-excelentes-56953443.html,"MN 3,728,000",venta,2.0,2.0,72.0,72.0,19.4022248,-99.1825291,Calle de la Constitución,18,Escandón I Sección,Ciudad de México,11800,"Calle de la Constitución 18, Escandón I Secc, Miguel Hidalgo, 11800 Ciudad de México, CDMX, Mexico"
7,7,Hermoso Departamento Recién Remodelado y Súper Ubicado!,"Ures 87, Roma, Cuauhtémoc","Excelente departamento exterior 3er nivel con vista hacia un hermoso árbol, en una calle súper tranquila y con la mejor orientación, con muy buena ubicación a solo3 calles de Parque Delta, los mejores servicios de la zona, recién remodelado con piso de madera de encino, muy bonita y bien diseñada cocina con cubierta de cuarzo, cuenta con 2 recamaras y un baño en el área del departamento y en el área de la pb un baño más, además tiene asignado en pb una habitación de 4 x 4 mts con baño que actualmente se utiliza como bodega pero puede tener varios usos. No cuenta con estadio sin embargo puede rentar uno en el edificio..",/propiedades/hermoso-departamento-recien-remodelado-y-super-57642055.html,"MN 2,670,000",venta,2.0,2.0,75.0,90.0,19.4042942,-99.1578888,Ures,87,Roma Sur,Ciudad de México,06760,"Ures 87, Roma Sur, Cuauhtémoc, 06760 Ciudad de México, CDMX, Mexico"
8,8,"Departamentos con Terraza, Balcones o Roof Garden Privados Iluminados y Bodega.","Saratoga 605, Portales, Benito Juárez","Super ubicados y con la mejor orientación, con una altura de 2: 80 metros que visualmente los hace ver con espacios muy amplios, balcones, terrazas o Roof Garden privados; todos con bodega, solo 11 departamentos, entrega inmediata, roof garden común, amplios estacionamientos y rampa de acceso, muy bien equipados ( closet de blancos/despensero) Cerca Alberca Olímpica, Coyoacán, Plaza Universidad, Parque de los Venados y con excelentes vías de comunicación. Con 1 y 2 estacionamiento.",/propiedades/departamentos-con-terraza-balcones-o-roof-garden-56052349.html,"MN 3,299,953",venta,2.0,2.0,75.0,97.0,19.3665253,-99.1512796,Saratoga,605,Portales Norte,Ciudad de México,03300,"Saratoga 605, Portales Nte, Benito Juárez, 03300 Ciudad de México, CDMX, Mexico"
9,9,10 Departamentos Listos Para Escriturar Muy Iluminados!,"Casas Grandes 149, Narvarte, Benito Juárez","Hermosos departamentos muy iluminados y con la mejor orientación, cuentan con roof garden común, en una calle muy tranquila y con excelentes vías de comunicación, contamos con departamentos con terraza o roof garden privados, están listos para entrega y escrituración y todos entran A jornada notarial! Tenemos opciones con 1 y 2 estacionamiento y con 2 y 2. 5 baños y áreas habitables desde 73, 86, 88 y 91 mts2.",/propiedades/10-departamentos-listos-para-escriturar-muy-56614494.html,"MN 3,200,000",venta,2.0,2.0,73.0,83.0,19.3953094,-99.146715,Casas Grandes,149,Narvarte Poniente,Ciudad de México,03020,"Casas Grandes 149, Narvarte Poniente, Benito Juárez, 03020 Ciudad de México, CDMX, Mexico"
